frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_text,bbox_score,text_score
10,1.0,"[np.float64(74.95799561380605), np.float64(190.3618260399296), np.float64(359.1613708952775), np.float64(408.43416301563275)]","[228.0076141357422, 349.73651123046875, 300.91180419921875, 372.97265625]",GA04C9552,0.8085997104644775,0.6519495844755412
11,1.0,"[np.float64(74.29622651955077), np.float64(189.43305537686416), np.float64(358.95430779183204), np.float64(408.246994863623)]","[228.0255889892578, 349.7023620605469, 300.9097595214844, 373.0303955078125]",GA04C9552,0.8082415461540222,0.8164958887486814
12,1.0,"[np.float64(74.21785646296118), np.float64(188.93997727471776), np.float64(359.0359327728195), np.float64(408.2014556724064)]","[228.0052490234375, 349.71734619140625, 300.8174743652344, 372.9981689453125]",GA04C9552,0.8044043183326721,0.679396492437174
13,1.0,"[np.float64(74.01004232076914), np.float64(189.83848481955164), np.float64(359.1340506267045), np.float64(409.01801583968705)]","[227.9827880859375, 349.73260498046875, 300.627685546875, 372.9678039550781]",GA04C9552,0.800896406173706,0.6876340760396566
14,1.0,"[np.float64(73.49521799254771), np.float64(190.14187766639427), np.float64(359.1024836918158), np.float64(409.39270270395286)]","[227.85130310058594, 349.6836242675781, 300.3510437011719, 372.9942626953125]",GA04C9552,0.8026981949806213,0.5379095798270801
15,1.0,"[np.float64(73.33218651153331), np.float64(190.2162289041574), np.float64(359.21050751387565), np.float64(409.5306816680298)]","[227.82058715820312, 349.70355224609375, 300.3525390625, 372.96832275390625]",GA04C9552,0.8064119815826416,0.6565293242576957
16,1.0,"[np.float64(73.00499629900085), np.float64(190.1310802089301), np.float64(359.18380220220854), np.float64(409.5038896668556)]","[227.7709197998047, 349.71728515625, 300.3544006347656, 372.97607421875]",GA04C9552,0.8084390759468079,0.6240716409737116
17,1.0,"[np.float64(73.39041040967228), np.float64(190.09640522933086), np.float64(359.4349676383117), np.float64(409.4922623964888)]","[228.03939819335938, 349.67425537109375, 300.2286682128906, 372.9128112792969]",GA04C9552,0.8081265091896057,0.8089385433423234
19,1.0,"[np.float64(72.99269849047286), np.float64(189.73099164332945), np.float64(359.3281402104112), np.float64(408.81318030828885)]","[228.00723266601562, 349.6963195800781, 300.1446838378906, 372.813232421875]",GA04C9552,0.8096010088920593,0.6259238119064575
20,1.0,"[np.float64(73.85565291897194), np.float64(189.5611929533086), np.float64(359.604712716281), np.float64(408.4245931520137)]","[227.8622283935547, 349.6222229003906, 300.11871337890625, 372.823974609375]",GA04C9552,0.8046239614486694,0.6424203893579267
21,1.0,"[np.float64(74.26354132692427), np.float64(189.08602245013577), np.float64(359.56196576531937), np.float64(407.48691161484345)]","[227.7770233154297, 349.2972106933594, 300.1905517578125, 372.7876281738281]",GA04C9552,0.8116747140884399,0.6158897379568006
22,1.0,"[np.float64(74.33511334932089), np.float64(189.13604771942576), np.float64(359.3740442213883), np.float64(407.2796476526253)]","[227.68101501464844, 349.20843505859375, 300.06036376953125, 372.57379150390625]",GA04C9552,0.8140427470207214,0.544304965175153
23,1.0,"[np.float64(74.69594689969907), np.float64(189.0715314680618), np.float64(359.2670704872063), np.float64(407.1452736772836)]","[227.50123596191406, 349.3712463378906, 299.5263977050781, 372.34393310546875]",GA04C9552,0.8119453191757202,0.7496093668276654
24,1.0,"[np.float64(75.0427913084877), np.float64(188.9499185792923), np.float64(359.25792175236006), np.float64(406.95365654986324)]","[227.21253967285156, 349.3205871582031, 299.3744812011719, 372.37994384765625]",GA04C9552,0.8161874413490295,0.9079140469511378
25,1.0,"[np.float64(75.27173248813264), np.float64(188.92102830321295), np.float64(359.27684421650235), np.float64(406.74155711160614)]","[227.12339782714844, 349.46844482421875, 298.6041564941406, 371.48687744140625]",GA04C9552,0.8082334399223328,0.7003878692717346
26,1.0,"[np.float64(75.59496887157411), np.float64(188.78972569137866), np.float64(359.3155621277241), np.float64(406.4874325540709)]","[226.99752807617188, 349.35528564453125, 298.5223388671875, 371.4586181640625]",GA04C9552,0.8196447491645813,0.8616513729641562
28,1.0,"[np.float64(75.87283727579228), np.float64(188.76064738429335), np.float64(358.86051631044234), np.float64(406.81032118413117)]","[227.08958435058594, 349.3273010253906, 298.1978759765625, 371.55560302734375]",GA04C9552,0.8135201930999756,0.4506949864175147
29,1.0,"[np.float64(75.93960851528544), np.float64(188.73657145005888), np.float64(358.6833921441506), np.float64(406.85089044647367)]","[227.04156494140625, 349.24420166015625, 298.3248291015625, 371.1274719238281]",GA04C9552,0.8355071544647217,0.9199381446902236
30,1.0,"[np.float64(76.33498250338104), np.float64(188.66998524772913), np.float64(358.67191878644644), np.float64(406.90447058586557)]","[227.15167236328125, 349.1734619140625, 298.6925964355469, 371.1531677246094]",GA04C9552,0.8257409930229187,0.738247932035168
31,1.0,"[np.float64(75.95802388174897), np.float64(188.9987983957239), np.float64(358.34635491419795), np.float64(408.1378796791335)]","[226.2273406982422, 349.3236999511719, 297.4171447753906, 372.0819396972656]",GA04C9552,0.801450252532959,0.9337324207177119
32,1.0,"[np.float64(76.17964371831027), np.float64(188.77107262247566), np.float64(358.39309482373494), np.float64(408.2287996095621)]","[226.72010803222656, 349.4306945800781, 298.0152893066406, 371.26812744140625]",GA04C9552,0.816585898399353,0.5040699926289548
33,1.0,"[np.float64(76.02313220274223), np.float64(188.46944373851682), np.float64(358.14991351755486), np.float64(407.63688728811974)]","[226.12615966796875, 349.1585388183594, 297.6733093261719, 372.2315673828125]",GA04C9552,0.8137373328208923,0.5056654755902652
34,1.0,"[np.float64(73.89455018341366), np.float64(188.0002244021298), np.float64(357.1175228859329), np.float64(407.8972509650764)]","[225.35757446289062, 349.30908203125, 297.392578125, 372.4855651855469]",GA04C9552,0.7974330186843872,0.6680248982063689
35,1.0,"[np.float64(73.39310119842332), np.float64(187.88415426319557), np.float64(357.1505475575944), np.float64(407.9084943043873)]","[225.42372131347656, 349.3697814941406, 297.4010925292969, 372.5396728515625]",GA04C9552,0.7968114614486694,0.513330674588792
36,1.0,"[np.float64(73.04386000853788), np.float64(187.9879447290393), np.float64(357.21444625259653), np.float64(408.2255276232014)]","[225.42430114746094, 349.3448486328125, 297.42529296875, 372.54193115234375]",GA04C9552,0.8000558614730835,0.8994209222550655
37,1.0,"[np.float64(72.59674293770175), np.float64(188.03101694112473), np.float64(357.2121461916579), np.float64(408.5312860659522)]","[225.31411743164062, 349.33489990234375, 297.42333984375, 372.5495910644531]",GA04C9552,0.8004361987113953,0.9079687014652207
38,1.0,"[np.float64(73.02429863170127), np.float64(187.9552622190185), np.float64(357.59507321651427), np.float64(408.5363103749167)]","[225.38148498535156, 349.29888916015625, 297.4757385253906, 372.5184631347656]",GA04C9552,0.8037290573120117,0.47851031149409395
39,1.0,"[np.float64(73.51468228768212), np.float64(187.8828754636296), np.float64(357.78482304855527), np.float64(408.31022937083185)]","[225.6854705810547, 349.10284423828125, 297.4992980957031, 372.28692626953125]",GA04C9552,0.8066630959510803,0.6238641344864088
